snapped_at,price,market_cap,total_volume
2021-05-10 00:00:00 UTC,461.64888756786746,0.0,1261252028.6903558
2021-05-11 00:00:00 UTC,461.64888756786746,0.0,1261252028.6903558
2021-05-12 00:00:00 UTC,363.840709210106,0.0,2513661601.73589
2021-05-13 00:00:00 UTC,257.15473263629883,0.0,1084708284.9464066
2021-05-14 00:00:00 UTC,302.5379850613162,0.0,939450039.3606575
2021-05-15 00:00:00 UTC,304.14661850511277,0.0,496520874.2023652
2021-05-16 00:00:00 UTC,245.53050652675495,0.0,451821573.0260734
2021-05-17 00:00:00 UTC,224.82025971357308,0.0,388013617.88951653
2021-05-18 00:00:00 UTC,195.41607901917905,0.0,417367971.1788634
2021-05-19 00:00:00 UTC,164.67758924543912,0.0,460561762.18840694
2021-05-20 00:00:00 UTC,125.90828759914986,0.0,774206729.7652758
2021-05-21 00:00:00 UTC,164.83044445629628,0.0,2190024665.000575
2021-05-22 00:00:00 UTC,143.4053030029384,17845405572.33842,1105989164.4599636
2021-05-23 00:00:00 UTC,149.16470674229333,18537096879.444103,407855419.28710574
2021-05-24 00:00:00 UTC,143.5364591894256,17386800143.225193,780459515.9295715
2021-05-25 00:00:00 UTC,147.53001734089509,18517706292.567257,695770193.958271
2021-05-26 00:00:00 UTC,133.31723282378263,16549090121.7541,541133024.2878845
2021-05-27 00:00:00 UTC,142.4423820897955,17609960401.197784,544692217.3884505
2021-05-28 00:00:00 UTC,131.9362008782438,16443950549.517513,316541424.9493226
2021-05-29 00:00:00 UTC,115.73287502111134,14419734003.580761,322119286.91096276
2021-05-30 00:00:00 UTC,111.04971454449564,13845262920.562958,205242554.60572568
2021-05-31 00:00:00 UTC,111.3880326458002,13820838525.027658,178212875.65487856
2021-06-01 00:00:00 UTC,114.57873780431262,14266572524.778791,190736769.24120355
2021-06-02 00:00:00 UTC,107.61460671582773,13422115249.218824,158288527.8428607
2021-06-03 00:00:00 UTC,108.03160190812189,13431467337.658375,271840980.7011449
2021-06-04 00:00:00 UTC,122.78283797307495,15493137596.694782,585866768.9263917
2021-06-05 00:00:00 UTC,109.30816954515277,13785326001.23429,446339037.1160203
2021-06-06 00:00:00 UTC,104.07767574139919,13162472593.780806,234837582.51465803
2021-06-07 00:00:00 UTC,104.64506098642653,13225839242.910175,164465924.4433251
2021-06-08 00:00:00 UTC,90.44996983660508,11361174139.314762,238672209.96942416
2021-06-09 00:00:00 UTC,81.91567973223933,10378760569.985611,323084022.85799223
2021-06-10 00:00:00 UTC,81.6851770108435,10395852555.205402,312732596.64657444
2021-06-11 00:00:00 UTC,66.49870883177712,8601123279.975838,443686991.13061744
2021-06-12 00:00:00 UTC,58.30648696503557,7859061727.280729,427592916.39856005
2021-06-13 00:00:00 UTC,61.515304050616635,8280003836.8758745,417965876.49168885
2021-06-14 00:00:00 UTC,64.82590482855947,8636982490.632097,368641192.8915823
2021-06-15 00:00:00 UTC,66.91688526629527,9014393643.104998,322295127.26022285
2021-06-16 00:00:00 UTC,61.007096591259874,8258406863.522482,332046099.05587816
2021-06-17 00:00:00 UTC,55.22393258382,7432591669.034574,222028405.2667153
2021-06-18 00:00:00 UTC,54.24077081116896,7306296600.197013,250012685.24648482
2021-06-19 00:00:00 UTC,48.3631864068626,6546958555.635227,220550969.86004686
2021-06-20 00:00:00 UTC,48.89853573601593,6559670902.552096,286636113.82503474
2021-06-21 00:00:00 UTC,47.17764508090096,6357727128.329508,228033773.73780942
2021-06-22 00:00:00 UTC,36.62095254176348,4962342716.272875,300525203.4634498
2021-06-23 00:00:00 UTC,34.39317544474665,4631384871.46096,285211978.46757704
2021-06-24 00:00:00 UTC,37.78770781133413,5080715058.105904,285621000.5508825
2021-06-25 00:00:00 UTC,34.80184389665675,4700150401.503942,250839333.70513305
2021-06-26 00:00:00 UTC,31.535784886777034,4262089729.0047207,241131335.6345381
2021-06-27 00:00:00 UTC,30.092396328469967,4054398047.371298,227427303.98368248
2021-06-28 00:00:00 UTC,42.69907636457674,5834594922.711168,603457281.9065272
2021-06-29 00:00:00 UTC,49.66037343402859,6640710694.468481,863728996.6315031
2021-06-30 00:00:00 UTC,53.96133730184667,7337825058.679243,881737872.4447594
2021-07-01 00:00:00 UTC,50.70243108143301,6786405306.343286,870833653.9193599
2021-07-02 00:00:00 UTC,45.99767561200372,6288629797.705527,475997084.8034295
2021-07-03 00:00:00 UTC,44.1120485875006,6028666396.149927,325624799.3616151
2021-07-04 00:00:00 UTC,48.940623433444124,6678275307.183987,345856648.0724319
2021-07-05 00:00:00 UTC,46.91541358456919,6433664681.296983,286640844.94059515
2021-07-06 00:00:00 UTC,46.70949740305101,6398960111.022411,282225063.02690876
2021-07-07 00:00:00 UTC,46.10539697339144,6305194609.374749,234414009.76829463
2021-07-08 00:00:00 UTC,45.46123716869941,6231061245.71968,196740775.71254507
2021-07-09 00:00:00 UTC,40.15868098198481,5488966848.072951,227475306.7955689
2021-07-10 00:00:00 UTC,41.22444038981458,5652063327.849976,195050852.46441472
2021-07-11 00:00:00 UTC,38.78036450046671,5309001401.296231,149470876.3781694
2021-07-12 00:00:00 UTC,39.75122924641021,5439111916.866366,138143104.63877255
2021-07-13 00:00:00 UTC,37.50753595213409,5117624126.0714655,138260839.9884753
2021-07-14 00:00:00 UTC,38.789725833095964,5312584265.399919,185660972.7953599
2021-07-15 00:00:00 UTC,36.83456962814934,5037178869.101616,241981864.96730706
2021-07-16 00:00:00 UTC,35.70390080405119,4886091957.639212,154736819.74429604
2021-07-17 00:00:00 UTC,32.37633462168365,4433448636.902265,127600471.57643066
2021-07-18 00:00:00 UTC,32.30671422260622,4418987719.248852,115029405.41398782
2021-07-19 00:00:00 UTC,32.60000162234232,4474198751.364596,100165444.26505548
2021-07-20 00:00:00 UTC,31.242472601634763,4277448595.634332,96347284.81762642
2021-07-21 00:00:00 UTC,28.717887807449557,3930264915.8407426,149396025.52046618
2021-07-22 00:00:00 UTC,33.71838028380697,4599460883.2994375,249468787.65495294
2021-07-23 00:00:00 UTC,34.003083418579315,4655025219.841132,293416321.70132
2021-07-24 00:00:00 UTC,34.67007271279279,4744133992.799273,174050369.1220123
2021-07-25 00:00:00 UTC,44.22620698868279,6058892056.726244,603145825.8712809
2021-07-26 00:00:00 UTC,43.16913674105639,5908418653.073464,555455332.3836962
2021-07-27 00:00:00 UTC,40.54089140526613,5560505864.569178,529220668.70269036
2021-07-28 00:00:00 UTC,40.54304272538246,5538319897.683059,402291385.37243867
2021-07-29 00:00:00 UTC,40.77809872005497,5579782119.179051,320573438.81416535
2021-07-30 00:00:00 UTC,41.23588562039136,5645013858.838683,194702877.5243714
2021-07-31 00:00:00 UTC,42.04083453929065,5760269754.641799,230594127.9303686
2021-08-01 00:00:00 UTC,41.94783914864291,5743050908.391642,233577873.4554724
2021-08-02 00:00:00 UTC,40.79857286497591,5576892484.899206,247019434.39161623
2021-08-03 00:00:00 UTC,40.269182865466846,5520800493.3770075,184462378.80482233
2021-08-04 00:00:00 UTC,38.62631307210061,5295777338.444029,205908463.4130701
2021-08-05 00:00:00 UTC,39.391565642823984,5427215767.588934,167519712.9022444
2021-08-06 00:00:00 UTC,42.07481294872208,5768530815.182161,206042805.04255757
2021-08-07 00:00:00 UTC,48.5732955470656,6716882647.295431,695997441.1452401
2021-08-08 00:00:00 UTC,63.318441753320826,8672837265.415644,1431729381.5626411
2021-08-09 00:00:00 UTC,55.1513533695368,7553786920.199534,698508515.9247236
2021-08-10 00:00:00 UTC,64.48678090122188,8795656203.102203,1133799653.0123863
2021-08-11 00:00:00 UTC,71.38109433212674,9715728466.691746,1262244537.6378336
2021-08-12 00:00:00 UTC,67.52594037053946,9202891829.8915,1044465972.9350276
2021-08-13 00:00:00 UTC,64.08224091343362,8751193461.904013,827870415.0177082
