snapped_at,price,market_cap,total_volume
2020-08-09 00:00:00 UTC,96.07939800076132,938809687.0206625,599840735.7863163
2020-08-10 00:00:00 UTC,91.88999890845477,898645136.0751516,658050364.8554484
2020-08-11 00:00:00 UTC,88.40098093567785,862903024.1624076,665167486.1380891
2020-08-12 00:00:00 UTC,81.19004728692684,796090768.4523962,810788588.7925785
2020-08-13 00:00:00 UTC,83.64497943759338,819502208.2276558,880216463.6783454
2020-08-14 00:00:00 UTC,87.12597921459718,853394722.844231,769219493.5038081
2020-08-15 00:00:00 UTC,85.02494512726166,834551720.7784959,586917335.610661
2020-08-16 00:00:00 UTC,85.28083881085118,837540597.2885464,655293992.5466661
2020-08-17 00:00:00 UTC,84.42588865116,828729669.6670234,673448474.5288894
2020-08-18 00:00:00 UTC,86.49155274188566,850623921.521375,694949637.6462015
2020-08-19 00:00:00 UTC,83.3318971854974,820747819.0379059,821893517.4430726
2020-08-20 00:00:00 UTC,76.14414019190016,750111153.8584468,751088194.6836212
2020-08-21 00:00:00 UTC,78.77703138810354,776066314.9322821,673532038.9034371
2020-08-22 00:00:00 UTC,73.61862706224825,725279674.7420483,692147961.2606004
2020-08-23 00:00:00 UTC,77.01846012930375,760172115.1034893,589992211.40117
2020-08-24 00:00:00 UTC,83.97943378672502,812566152.8059697,737163948.2737164
2020-08-25 00:00:00 UTC,80.30154451623453,793253668.5038282,623275231.015819
2020-08-26 00:00:00 UTC,73.42027061582479,727064061.0578061,778619711.1922911
2020-08-27 00:00:00 UTC,74.83821048616421,741211567.2946587,629010595.8255541
2020-08-28 00:00:00 UTC,72.01908142035352,713049520.7649648,635867013.7918252
2020-08-29 00:00:00 UTC,75.85382078013785,752883720.8707644,641869175.5479269
2020-08-30 00:00:00 UTC,78.75342029481891,781740760.1303521,596658086.2525251
2020-08-31 00:00:00 UTC,81.30395660266083,806378558.8596343,622021425.0370002
2020-09-01 00:00:00 UTC,78.52594225585415,781020905.032792,571223511.0139098
2020-09-02 00:00:00 UTC,83.4266254268203,842423506.0809567,746761563.7935922
2020-09-03 00:00:00 UTC,76.0599119103934,756364832.4853812,547635230.8317499
2020-09-04 00:00:00 UTC,56.58174205221093,560877067.5403516,625603385.9582895
2020-09-05 00:00:00 UTC,59.92364319274673,597191163.0807449,746168689.1214235
2020-09-06 00:00:00 UTC,55.45989705011118,553102939.778185,648909766.5619893
2020-09-07 00:00:00 UTC,59.01577533866031,589022329.8953236,627941333.9295398
2020-09-08 00:00:00 UTC,61.75508829940289,616833736.1910684,685184647.300409
2020-09-09 00:00:00 UTC,58.624596123660666,584260369.3880234,646132366.4487332
2020-09-10 00:00:00 UTC,60.045165016886834,600554102.2316784,559136989.668476
2020-09-11 00:00:00 UTC,62.34606829566472,624012835.3239907,26260119800.492996
2020-09-12 00:00:00 UTC,63.295534355961436,634167984.6085585,607175914.542797
2020-09-13 00:00:00 UTC,65.72676460899864,658183156.999012,613514834.0031447
2020-09-14 00:00:00 UTC,62.1970892388086,623859351.5100993,612117307.2462322
2020-09-15 00:00:00 UTC,63.11098759678991,633482060.2141935,604303037.8755308
2020-09-16 00:00:00 UTC,59.340226559119614,595750765.5787067,532024483.5520597
2020-09-17 00:00:00 UTC,58.36623010924976,586510674.138905,588160873.0383848
2020-09-18 00:00:00 UTC,59.40695844832734,597976379.84926,505607073.0821506
2020-09-19 00:00:00 UTC,57.452369273085324,578334901.2737714,457357016.1145714
2020-09-20 00:00:00 UTC,57.822611578045375,582550439.4156915,470343835.8160979
2020-09-21 00:00:00 UTC,57.886021958509495,584148724.6245278,532336678.6435453
2020-09-22 00:00:00 UTC,51.98814397706835,526679554.1253462,516014521.3432022
2020-09-23 00:00:00 UTC,53.12778271639425,535166924.7383006,406871353.88651276
2020-09-24 00:00:00 UTC,51.74073127790241,522875220.5073961,390762697.08081436
2020-09-25 00:00:00 UTC,55.00652483642345,556206900.1423328,428283248.68975574
2020-09-26 00:00:00 UTC,54.81404420641676,554292077.7237971,400041080.0936787
2020-09-27 00:00:00 UTC,56.305270537050916,569780871.9505575,373490827.43415123
2020-09-28 00:00:00 UTC,55.34994099326742,561015986.9530824,396852226.6876523
2020-09-29 00:00:00 UTC,55.959722410137175,566636745.0906851,441414833.33326197
2020-09-30 00:00:00 UTC,61.33101862901253,622371574.4776487,490417562.6863164
2020-10-01 00:00:00 UTC,64.05252446316753,646901492.5303639,480726755.4249132
2020-10-02 00:00:00 UTC,64.58362091232827,656127609.1156622,667060702.5322315
2020-10-03 00:00:00 UTC,63.79224818145325,649538789.8599526,599950556.3249108
2020-10-04 00:00:00 UTC,60.68868690762631,617428114.6878246,434052581.45450974
2020-10-05 00:00:00 UTC,63.04581858108153,643863417.7910415,477345725.76708657
2020-10-06 00:00:00 UTC,65.63322198587396,669975127.0942919,503035009.84467745
2020-10-07 00:00:00 UTC,61.535184401816124,627762343.5706178,492383584.25562584
2020-10-08 00:00:00 UTC,61.40794067569651,626675272.916942,485254568.48252726
2020-10-09 00:00:00 UTC,61.58071438227504,628693318.7167102,482131504.0326566
2020-10-10 00:00:00 UTC,63.568914016297285,649865957.4514513,537538614.67371
2020-10-11 00:00:00 UTC,66.56289879866353,679792097.8314384,600667166.9431489
2020-10-12 00:00:00 UTC,72.40541877279185,740783459.7353721,660508086.1639411
2020-10-13 00:00:00 UTC,73.42866311793955,751721186.7187592,754576014.9877162
2020-10-14 00:00:00 UTC,70.0783463296492,717793515.975889,620727092.3175309
2020-10-15 00:00:00 UTC,69.0156709296936,705282548.1318707,611498508.5570211
2020-10-16 00:00:00 UTC,68.22056608920062,699389440.4349574,532039442.04280096
2020-10-17 00:00:00 UTC,62.33371278054037,643512873.1807383,492294102.92340654
2020-10-18 00:00:00 UTC,62.68490133298701,643417266.3859717,384648293.1669418
2020-10-19 00:00:00 UTC,64.43935230396373,661911085.683642,408042191.13888204
2020-10-20 00:00:00 UTC,63.992627159529775,657233284.6127242,310360249.39061004
2020-10-21 00:00:00 UTC,57.83629529650278,598137039.1129601,207241794.47012305
2020-10-22 00:00:00 UTC,62.71557768310143,644205910.0236887,258093177.0961498
2020-10-23 00:00:00 UTC,65.00904367285167,670746191.5025269,350127743.8125901
2020-10-24 00:00:00 UTC,63.0559559416907,649769364.0911933,379195227.2434766
2020-10-25 00:00:00 UTC,64.02122527346229,660708589.6633112,327774040.4047488
2020-10-26 00:00:00 UTC,62.61334881089971,647321570.3333429,326798665.859624
