snapped_at,price,market_cap,total_volume
2019-02-01 00:00:00 UTC,3438.3604027386937,0.0,20589.04040258867
2019-02-02 00:00:00 UTC,3472.243307228701,0.0,12576.72390618631
2019-02-03 00:00:00 UTC,3461.0583406493133,0.0,1852.5260325523282
2019-02-04 00:00:00 UTC,3468.160040493987,0.0,7029.292884632813
2019-02-05 00:00:00 UTC,3476.1278652717033,0.0,3544.645877019703
2019-02-06 00:00:00 UTC,3486.4072978792706,0.0,137.037701444486
2019-02-07 00:00:00 UTC,3425.8603241266637,0.0,1986.4525632717668
2019-02-08 00:00:00 UTC,3387.762851278961,0.0,412.9229633039552
2019-02-09 00:00:00 UTC,3664.7565667242584,0.0,5990.464431482407
2019-02-10 00:00:00 UTC,3683.6118390805127,0.0,549.2825529429768
2019-02-11 00:00:00 UTC,3770.340205754461,0.0,2432.1874232045807
2019-02-12 00:00:00 UTC,3605.923346916099,0.0,2276.2378146083825
2019-02-13 00:00:00 UTC,3652.9014823823277,0.0,1050.8723969780606
2019-02-14 00:00:00 UTC,3612.7888798691642,0.0,0.0
2019-02-15 00:00:00 UTC,3605.523730622499,0.0,888.0496889378346
2019-02-16 00:00:00 UTC,3613.8624472358615,0.0,72.56917675320494
2019-02-17 00:00:00 UTC,3652.0561490928935,0.0,951.9304206390802
2019-02-18 00:00:00 UTC,3711.289813487391,0.0,1643.705689655
2019-02-19 00:00:00 UTC,3831.3849740696114,0.0,21196.039870852517
2019-02-20 00:00:00 UTC,3909.7034687941473,0.0,861.121176332776
2019-02-21 00:00:00 UTC,4002.916191843422,0.0,1340.3093979633945
2019-02-22 00:00:00 UTC,3957.4051421263825,0.0,1504.4135404611088
2019-02-23 00:00:00 UTC,3977.9964514414737,0.0,2119.5043875118818
2019-02-24 00:00:00 UTC,4123.694538467906,0.0,5096.096380144949
2019-02-25 00:00:00 UTC,3683.2475561768683,0.0,6762.53788216316
2019-02-26 00:00:00 UTC,3789.0379354731017,0.0,7866.5654897157365
2019-02-27 00:00:00 UTC,3853.008792443837,0.0,4859.376158942243
2019-02-28 00:00:00 UTC,3821.644258503784,0.0,1818.3382580741227
2019-03-01 00:00:00 UTC,3808.050534111601,0.0,1443.4141094884253
2019-03-02 00:00:00 UTC,3818.4293570827454,0.0,811.9045009419735
2019-03-03 00:00:00 UTC,3834.808620933888,0.0,1782.1122239723104
2019-03-04 00:00:00 UTC,3767.09064736515,0.0,13204.0737290656
2019-03-05 00:00:00 UTC,3712.88560258252,0.0,7663.0353863123355
2019-03-06 00:00:00 UTC,3874.3671995648733,0.0,11832.392164014404
2019-03-07 00:00:00 UTC,3873.733380188494,0.0,4367.825295892116
2019-03-08 00:00:00 UTC,3862.0876012337617,0.0,20878.094267899705
2019-03-09 00:00:00 UTC,3840.750894702697,0.0,4104.083955217388
2019-03-10 00:00:00 UTC,3922.041268789715,0.0,7715.021808127176
2019-03-11 00:00:00 UTC,3927.7199889379294,0.0,0.0
2019-03-12 00:00:00 UTC,3881.792556666582,0.0,1003.9305408641732
2019-03-13 00:00:00 UTC,3896.5740801122565,0.0,3.8965740801122566
2019-03-14 00:00:00 UTC,3853.747559682612,0.0,4646.375181890208
2019-03-15 00:00:00 UTC,3878.89836757539,0.0,2294.2949611480935
2019-03-16 00:00:00 UTC,3924.41452149602,0.0,1037.8236695242483
2019-03-17 00:00:00 UTC,4008.972282370652,0.0,1453.6360709170613
2019-03-18 00:00:00 UTC,3947.330242041265,0.0,9.07885955669491
2019-03-19 00:00:00 UTC,3995.831659104729,0.0,1606.1853519349975
2019-03-20 00:00:00 UTC,4018.7774403232625,0.0,3598.2078399749257
2019-03-21 00:00:00 UTC,4147.001008545857,0.0,5939.238247237628
2019-03-22 00:00:00 UTC,4018.7709301543337,0.0,36210.41297231034
2019-03-23 00:00:00 UTC,4005.772442173505,0.0,5119.177653572395
2019-03-24 00:00:00 UTC,4005.22337031521,0.0,56.18508878480472
2019-03-25 00:00:00 UTC,3216.3868500034387,0.0,660.8003450078705
2019-03-26 00:00:00 UTC,3937.938927962274,0.0,1405.9835013958302
2019-03-27 00:00:00 UTC,3743.4954764521294,0.0,81.23385183901121
2019-03-28 00:00:00 UTC,3855.9489330607344,0.0,146.07999276085394
2019-03-29 00:00:00 UTC,4123.215407522474,0.0,2136.0374752459525
2019-03-30 00:00:00 UTC,3175.6108999104954,0.0,136.42424426015486
2019-03-31 00:00:00 UTC,4114.963432800845,0.0,7757.783022180205
2019-04-01 00:00:00 UTC,4939.412378167535,0.0,133.90746957212187
2019-04-02 00:00:00 UTC,3139.173266048137,0.0,86.04473922237945
2019-04-03 00:00:00 UTC,4909.6984388254605,0.0,26941.516275294915
2019-04-04 00:00:00 UTC,4934.871787506366,0.0,71372.83260106876
2019-04-05 00:00:00 UTC,4899.783594547959,0.0,72295.70209955474
2019-04-06 00:00:00 UTC,5032.4707638760165,0.0,7767.4387195016625
2019-04-07 00:00:00 UTC,5050.796084821612,0.0,16188.123692643478
2019-04-08 00:00:00 UTC,5180.693034853178,0.0,7658.352552618722
2019-04-09 00:00:00 UTC,5262.092510827817,0.0,16069.731987348243
2019-04-10 00:00:00 UTC,5183.814730338404,0.0,7013.243131105026
2019-04-11 00:00:00 UTC,5315.335749482664,0.0,9779.75407848774
2019-04-12 00:00:00 UTC,5074.490217236426,0.0,63401.72264964334
2019-04-13 00:00:00 UTC,5080.521257856815,0.0,23697.487166832856
2019-04-14 00:00:00 UTC,5078.083191105935,0.0,66.52288980348774
2019-04-15 00:00:00 UTC,5153.220167888584,0.0,7859.692631835071
